2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 180/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 181/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 182/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 183/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 184/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 185/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 186/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 187/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 188/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 189/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 190/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:582 - INFO - 正在下载第 191/191 页...
2026-01-29 03:42:42 - mkk_comic - app.py:511 - INFO - 下载完成!
2026-01-29 03:42:42 - mkk_comic - app.py:512 - INFO - 成功下载: 191/191 页
2026-01-29 03:42:43 - mkk_comic - app.py:854 - INFO - 【名侦探柯南】第50章下载失败，终止后续章节下载
2026-01-29 03:42:43 - mkk_comic - app.py:858 - INFO - ===== 检查更新完成 =====

